Model,RMSE,MAE,R2_Score
RandomForestRegressor,1109.4883955976677,584.2797207637442,0.9216476675866065
GradientBoostingRegressor,1218.501851695705,818.4193332328523,0.9054941292823139
LinearRegression,2088.795107880582,1536.491763841598,0.7222858015460836
